項次,投影片頁碼,大綱項目(大標題),分段內容(副標題),開始時間(HH:MM:SS),開始時間(幾分幾秒),結束時間(HH:MM:SS),時長(秒),時長(分秒)
1,1,,Azure 教學簡報,00:00:00,00分00秒,00:00:11,11.08,00分11秒
2,2,目錄,,00:00:11,00分11秒,00:02:08,117.40,01分57秒
3,3,1.【安全性預設值】類別/【安全性預設值】原則,說明,00:02:08,02分08秒,00:03:40,91.84,01分32秒
4,4,1.【安全性預設值】類別/【安全性預設值】原則,設定方法,00:03:40,03分40秒,00:04:10,29.76,00分30秒
5,5,1.【安全性預設值】類別/【安全性預設值】原則,Azure 入口網站操作示意圖,00:04:10,04分10秒,00:04:29,18.64,00分19秒
6,6,1.【安全性預設值】類別/【安全性預設值】原則,PowerShell設定方法,00:04:29,04分29秒,00:04:41,12.32,00分12秒
7,7,2.【安全性預設值】類別/【使用者多重要素驗證】原則,說明,00:04:41,04分41秒,00:06:08,86.56,01分27秒
8,8,2.【安全性預設值】類別/【使用者多重要素驗證】原則,設定方法,00:06:08,06分08秒,00:06:40,32.56,00分33秒
9,9,2.【安全性預設值】類別/【使用者多重要素驗證】原則,Azure 入口網站操作示意圖,00:06:40,06分40秒,00:06:49,8.81,00分09秒
10,10,2.【安全性預設值】類別/【使用者多重要素驗證】原則,PowerShell設定方法,00:06:49,06分49秒,00:07:04,15.28,00分15秒
